Server Type,OS,Friendly,Instance Size ,CPU,Memory,Network,Elasticity,Storage,Price,SKU,Title,template
Oracle,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,80,55800,SVR_RHL5_ORCL_020,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,80,72000,SVR_RHL5_ORCL_021,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,80,162562,SVR_RHL5_ORCL_022,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,80,162562,SVR_RHL5_ORCL_023,RHEL 5 Oracle Database Server,server
Oracle,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,80,178762,SVR_RHL5_ORCL_024,RHEL 5 Oracle Database Server,server
Oracle 11g,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,80,55800,SVR_RHL5_ORCL11G_001,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,80,55800,SVR_RHL5_ORCL11G_002,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,80,72000,SVR_RHL5_ORCL11G_003,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Development,No,80,162562,SVR_RHL5_ORCL11G_004,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,No,80,162562,SVR_RHL5_ORCL11G_005,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,No,80,178762,SVR_RHL5_ORCL11G_006,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,80,55800,SVR_RHL5_ORCL11G_007,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,80,55800,SVR_RHL5_ORCL11G_008,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,80,72000,SVR_RHL5_ORCL11G_009,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,80,162562,SVR_RHL5_ORCL11G_010,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,80,162562,SVR_RHL5_ORCL11G_011,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,80,178762,SVR_RHL5_ORCL11G_012,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,80,55800,SVR_RHL5_ORCL11G_013,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,80,55800,SVR_RHL5_ORCL11G_014,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,80,72000,SVR_RHL5_ORCL11G_015,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,80,162562,SVR_RHL5_ORCL11G_016,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,80,162562,SVR_RHL5_ORCL11G_017,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,80,178762,SVR_RHL5_ORCL11G_018,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,80,55800,SVR_RHL5_ORCL11G_019,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,80,55800,SVR_RHL5_ORCL11G_020,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,80,72000,SVR_RHL5_ORCL11G_021,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,80,162562,SVR_RHL5_ORCL11G_022,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,80,162562,SVR_RHL5_ORCL11G_023,RHEL 5 Oracle 11G Database Server,server
Oracle 11g,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,80,178762,SVR_RHL5_ORCL11G_024,RHEL 5 Oracle 11G Database Server,server
