Server Type,OS,Friendly,Instance Size ,CPU,Memory,Network,Elasticity,Storage,Price,SKU,Title,template
Weblogic,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,50,53100,SVR_RHL5_WBL_007,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,50,53100,SVR_RHL5_WBL_008,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,50,69300,SVR_RHL5_WBL_009,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,No,50,145552,SVR_RHL5_WBL_010,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,No,50,145552,SVR_RHL5_WBL_011,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,No,50,161752,SVR_RHL5_WBL_012,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,50,53100,SVR_RHL5_WBL_013,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,50,53100,SVR_RHL5_WBL_014,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,50,69300,SVR_RHL5_WBL_015,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Development,Yes,50,145552,SVR_RHL5_WBL_016,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Development,Yes,50,145552,SVR_RHL5_WBL_017,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Development,Yes,50,161752,SVR_RHL5_WBL_018,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,53100,SVR_RHL5_WBL_019,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,53100,SVR_RHL5_WBL_020,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,69300,SVR_RHL5_WBL_021,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Small - 1 vCPU / 6 GB,Small,1,6,Public,Yes,50,145552,SVR_RHL5_WBL_022,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Medium - 2 vCPU / 6 GB,Medium,2,6,Public,Yes,50,145552,SVR_RHL5_WBL_023,RHEL 5 WebLogic Server,server
Weblogic,RHEL 5,Large - 4 vCPU / 8 GB,Large,4,8,Public,Yes,50,161752,SVR_RHL5_WBL_024,RHEL 5 WebLogic Server,server
